id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
1,4,5,4,3,4,3,5,4,3,4,5,4
2,5,5,4,4,5,4,4,5,4,5,4,5
3,3,4,3,2,3,2,5,4,3,3,5,4
4,4,4,5,3,4,3,4,5,4,4,4,5
5,5,5,5,4,5,4,3,4,3,5,3,4
6,2,3,2,2,2,2,5,5,4,2,5,5
7,4,5,4,3,4,3,4,4,4,4,4,4
8,5,4,5,4,5,4,3,3,3,5,3,3
9,3,3,3,2,3,2,5,5,5,3,5,5
10,4,4,4,3,4,3,4,4,4,4,4,4
11,5,5,5,5,5,5,2,3,2,5,2,3
12,3,4,3,2,3,2,5,5,5,3,5,5
13,4,4,4,3,4,3,4,4,4,4,4,4
14,5,5,5,4,5,4,3,3,3,5,3,3
15,2,2,2,1,2,1,5,5,5,2,5,5
16,4,5,4,3,4,3,4,4,4,4,4,4
17,5,5,5,4,5,4,3,4,3,5,3,4
18,3,3,3,2,3,2,5,5,4,3,5,5
19,4,4,4,3,4,3,4,4,4,4,4,4
20,5,5,5,5,5,5,2,2,2,5,2,2
21,3,4,3,2,3,2,5,5,5,3,5,5
22,4,4,4,3,4,3,4,4,4,4,4,4
23,5,5,5,4,5,4,3,3,3,5,3,3
24,2,3,2,2,2,2,5,5,5,2,5,5
25,4,4,4,3,4,3,4,4,4,4,4,4
26,5,5,5,4,5,4,3,4,3,5,3,4
27,3,3,3,2,3,2,5,5,5,3,5,5
28,4,5,4,3,4,3,4,4,4,4,4,4
29,5,4,5,4,5,4,3,3,3,5,3,3
30,3,4,3,2,3,2,5,5,4,3,5,5
31,4,4,4,3,4,3,4,4,4,4,4,4
32,5,5,5,5,5,5,2,3,2,5,2,3
33,2,3,2,1,2,1,5,5,5,2,5,5
34,4,4,4,3,4,3,4,4,4,4,4,4
35,5,5,5,4,5,4,3,3,3,5,3,3
36,3,3,3,2,3,2,5,5,5,3,5,5
37,4,5,4,3,4,3,4,4,4,4,4,4
38,5,5,5,4,5,4,3,4,3,5,3,4
39,3,4,3,2,3,2,5,5,5,3,5,5
40,4,4,4,3,4,3,4,4,4,4,4,4
41,5,5,5,5,5,5,2,2,2,5,2,2
42,2,2,2,1,2,1,5,5,5,2,5,5
43,4,4,4,3,4,3,4,4,4,4,4,4
44,5,5,5,4,5,4,3,3,3,5,3,3
45,3,3,3,2,3,2,5,5,5,3,5,5
46,4,5,4,3,4,3,4,4,4,4,4,4
47,5,4,5,4,5,4,3,4,3,5,3,4
48,3,4,3,2,3,2,5,5,4,3,5,5
49,4,4,4,3,4,3,4,4,4,4,4,4
50,5,5,5,5,5,5,2,3,2,5,2,3
